epoch: 55, loss1: 96.32392883, loss2: 19.03567886, loss3: 432.26266479, loss4: 38.72513199, loss: 586.34741211. 
epoch: 56, loss1: 99.90020752, loss2: 17.95616531, loss3: 422.83685303, loss4: 38.60672760, loss: 579.29998779. 
epoch: 57, loss1: 102.99035645, loss2: 16.97244072, loss3: 410.89364624, loss4: 38.50289917, loss: 569.35937500. 
epoch: 58, loss1: 104.91821289, loss2: 16.07451820, loss3: 396.29174805, loss4: 38.41615677, loss: 555.70062256. 
epoch: 59, loss1: 105.48252106, loss2: 15.25232220, loss3: 381.58523560, loss4: 38.34364319, loss: 540.66369629. 
epoch: 60, loss1: 104.88519287, loss2: 14.49655914, loss3: 369.76504517, loss4: 38.28034592, loss: 527.42712402. 
epoch: 61, loss1: 103.53521729, loss2: 13.79914093, loss3: 361.82861328, loss4: 38.22106552, loss: 517.38403320. 
epoch: 62, loss1: 101.81721497, loss2: 13.15316010, loss3: 357.25750732, loss4: 38.16192245, loss: 510.38980103. 
epoch: 63, loss1: 100.02337646, loss2: 12.55280113, loss3: 355.71301270, loss4: 38.10026550, loss: 506.38946533. 
epoch: 64, loss1: 98.42615509, loss2: 11.99288940, loss3: 355.51361084, loss4: 38.03390121, loss: 503.96655273. 
epoch: 65, loss1: 97.18399048, loss2: 11.46933842, loss3: 355.20297241, loss4: 37.96179962, loss: 501.81808472. 
epoch: 66, loss1: 96.37510681, loss2: 10.97903252, loss3: 353.85876465, loss4: 37.88376999, loss: 499.09664917. 
epoch: 67, loss1: 96.05935669, loss2: 10.51889420, loss3: 350.87261963, loss4: 37.80006790, loss: 495.25094604. 
epoch: 68, loss1: 96.16941071, loss2: 10.08688736, loss3: 346.38595581, loss4: 37.71215820, loss: 490.35443115. 
epoch: 69, loss1: 96.56066895, loss2: 9.68122292, loss3: 341.05844116, loss4: 37.62216568, loss: 484.92248535. 
epoch: 70, loss1: 96.95212555, loss2: 9.30058575, loss3: 335.93112183, loss4: 37.53311539, loss: 479.71694946. 
epoch: 71, loss1: 96.82032776, loss2: 8.94361877, loss3: 332.03271484, loss4: 37.44937897, loss: 475.24603271. 
epoch: 72, loss1: 95.53855133, loss2: 8.60924530, loss3: 329.19998169, loss4: 37.37541199, loss: 470.72320557. 
