pathway,correlation,pval_corr,pval_mw,mean_high,mean_low,fold_change,qval,significant,abs_corr
Reactome_REACTOME_SPHINGOLIPID_METABOLISM,0.13869566079693696,2.4183326034933593e-22,3.778847123442341e-22,0.2617951691080526,0.24505543032772073,1.068310009527009,9.494194665566522e-22,True,0.13869566079693696
Reactome_REACTOME_GLYCOSPHINGOLIPID_TRANSPORT,0.13411037106260307,5.557714010197993e-21,8.202365131511802e-21,0.44044528450821685,0.3984400218887063,1.105424305571501,2.1039917324320975e-20,True,0.13411037106260307
Reactome_REACTOME_MATURATION_OF_TCA_ENZYMES_AND_REGULATION_OF_TCA_CYCLE,0.13211012752805565,2.1096620713503188e-20,3.0424181586865866e-20,0.34634070107847165,0.31208490102176595,1.1097643620199253,7.711178605625304e-20,True,0.13211012752805565
Reactome_REACTOME_METABOLISM_OF_AMINE_DERIVED_HORMONES,0.12799187310505405,3.0846102620288963e-19,4.255564025942448e-19,0.08230286338660642,0.0660365324661191,1.2463232140305516,1.0898956259168768e-18,True,0.12799187310505405
Reactome_REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS,0.12336761190944585,5.661744014703614e-18,7.468562531679302e-18,0.18125249159654888,0.14201068122710472,1.2763299917327227,1.9359511792212358e-17,True,0.12336761190944585
Reactome_REACTOME_PYRUVATE_METABOLISM,0.12194879242419158,1.3530473534346428e-17,1.7621976925831653e-17,0.5117602873931799,0.488143834698152,1.048380110566451,4.4819693582522543e-17,True,0.12194879242419158
KEGG_KEGG_MEDICUS_REFERENCE_CITRATE_CYCLE_FIRST_CARBON_OXIDATION,0.12100414618941022,2.4031905880644993e-17,3.104177541135477e-17,0.46529967294946595,0.4204870634570842,1.1065730991197436,7.719339464692029e-17,True,0.12100414618941022
Reactome_REACTOME_REGULATION_OF_PYRUVATE_METABOLISM,0.11630006688115073,3.9278717352086784e-16,4.883192198417855e-16,0.5508568851027116,0.5293635321022588,1.0406022547777258,1.2245717762709409e-15,True,0.11630006688115073
Reactome_REACTOME_INTEGRATION_OF_ENERGY_METABOLISM,0.1159517156611804,4.809467735549363e-16,5.96337617468924e-16,0.25278822092522596,0.23938867617125256,1.0559740125067056,1.456581657052093e-15,True,0.1159517156611804
Reactome_REACTOME_PHENYLALANINE_METABOLISM,0.11452300909927365,1.0965091871244705e-15,1.3452254528898771e-15,0.2283208377625308,0.19466536598603695,1.172888852652443,3.228610384310941e-15,True,0.11452300909927365
Reactome_REACTOME_FATTY_ACID_METABOLISM,0.11227254807443457,3.933836900767293e-15,4.7498720320359826e-15,0.23263652560476583,0.21966806703121147,1.05903661259837,1.1269911121117111e-14,True,0.11227254807443457
Reactome_REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,0.11042675416787832,1.1007199321441573e-14,1.3127344452134199e-14,0.24546961300903855,0.23433823181190966,1.0475013450048707,3.0704292844021236e-14,True,0.11042675416787832
KEGG_KEGG_MEDICUS_REFERENCE_CITRATE_CYCLE_SECOND_CARBON_OXIDATION_2,0.1096603012886918,1.6790717042995324e-14,1.992601296501989e-14,0.46905392929375517,0.42557523848418893,1.102164521987765,4.563630786044883e-14,True,0.1096603012886918
Reactome_REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS,-0.10832965680803164,3.470937723031921e-14,4.08483832579018e-14,0.31801502060558745,0.34103274753839835,0.9325058162333245,9.19798496603459e-14,True,0.10832965680803164
Reactome_REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION,0.10678778124523342,7.963688854854118e-14,9.285621445687955e-14,0.5173173374753492,0.47296510856427104,1.0937748432346595,2.058904923450089e-13,True,0.10678778124523342
Reactome_REACTOME_PP2A_MEDIATED_DEPHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS,0.10577795345975663,1.3631813698868768e-13,1.5801735830983745e-13,0.34763150979416596,0.31399060768870635,1.1071398356565225,3.4404101240002125e-13,True,0.10577795345975663
Reactome_REACTOME_SERINE_METABOLISM,0.10474254619040432,2.353036788098895e-13,2.71172676797653e-13,0.2363915068824979,0.2116128138513347,1.1170944829861347,5.800509291592625e-13,True,0.10474254619040432
Reactome_REACTOME_METABOLISM_OF_NITRIC_OXIDE_NOS3_ACTIVATION_AND_REGULATION,0.10381466108150103,3.82056248246514e-13,4.38064333358011e-13,0.48164310431018903,0.45465799319507183,1.059352549650522,9.204082344120565e-13,True,0.10381466108150103
Reactome_REACTOME_DISEASES_OF_METABOLISM,0.10260594767323485,7.137762007214789e-13,8.131812135412406e-13,0.24950777693344287,0.24099083879548255,1.0353413357143764,1.681339495032817e-12,True,0.10260594767323485
