gene,n_patients
PDZD4,3
SGMS2,3
PRAM1,3
CCN1,3
TMEM200B,3
GALR3,3
SHANK1,3
GNG2,3
ADAM11,3
ACKR2,3
DCX,3
RARRES2,3
PTGFR,3
ADCY4,3
GFPT2,3
RNF112,3
CSF3,3
SHD,3
ZNF365,3
PCDHA11,3
PPP1R1C,3
FCAR,3
SORCS2,3
DNASE2B,3
GALNT5,3
MTRNR2L11,3
FNDC1,3
NOTUM,3
RAB3IL1,3
GRIA3,3
CILP2,3
MYL3,3
LYVE1,3
HPSE2,3
SCN3A,3
ADRB1,3
LMNTD1,3
RSPH10B2,3
ISLR2,3
GLT8D2,3
ADRA2B,3
PDE7B,3
C9orf92,3
DKKL1,3
CFD,3
ADD2,3
ARMC4,3
NLRP6,3
SLC47A1,3
ZP1,3
PPP1R1A,3
COCH,3
ABI3BP,3
TCN1,3
C14orf180,3
ROBO4,3
TMEM156,3
TSPEAR,3
AC233723.1,3
ABLIM2,3
GNG11,3
GSPT2,3
ARL10,3
EGFL6,3
TAC1,3
MADCAM1,3
FAM186B,3
LHX6,3
ZBTB18,3
HOXB6,3
FSCN3,3
LILRB4,3
VIP,3
TREML1,3
FCMR,3
HMOX1,3
CYS1,3
SOHLH1,3
GEM,3
FCGR1A,3
KLK11,3
DDX25,3
MCAM,3
C1orf232,3
KRT15,3
G0S2,3
TNFRSF9,3
HOXD3,3
MEFV,3
HOXA11,3
XCL1,3
CAPN6,3
BBOX1,3
FBLN2,3
LRRC71,3
CALB2,3
KLHL14,3
CBLN1,3
TFPI2,3
NELL2,3
TAT,3
S100A8,3
DPYSL4,3
IL36A,3
KCNB1,3
TAFA1,3
PIGR,3
GAB4,3
HRH1,3
MEDAG,3
GPR1,3
CLEC9A,3
TRARG1,3
ROR2,3
CPB1,3
COL25A1,3
LGI2,3
ZSCAN23,3
SPATA32,3
CALHM1,3
RNF186,3
BTLA,3
KL,3
FAM131B,3
CHRFAM7A,3
CXorf65,3
LCN1,3
PPP1R3G,3
C16orf89,3
TMEM158,3
SLC6A14,3
DLL1,3
SLC12A5,3
APOC2,3
MATK,3
ITGA9,3
KCNA2,3
CUX2,3
GFRA2,3
KLK6,3
GPM6A,3
PGR,3
C3orf84,3
MMP2,3
SCML4,3
MOV10L1,3
CILP,3
SP140,3
RSPH4A,3
PCDHA7,3
OTOF,3
C2CD4B,3
GPR25,3
GHR,3
COL4A4,3
LPL,3
CD72,3
RETN,3
ADAMTS3,3
LONRF3,3
GAPT,3
EXOC3L4,3
CDHR1,3
MAP1A,3
DAB1,3
ZMYND15,3
TNFSF18,3
WASF3,3
GIMAP4,3
P2RX7,3
AZGP1,3
HAPLN1,3
CNTN1,3
MGAM,3
CMA1,3
SEZ6L,3
PLEKHA4,3
DOK2,3
CCL8,3
PHYHIPL,3
PRICKLE2,3
GPR27,3
GLT1D1,3
AGMO,3
FBLN5,3
ERG,3
SAA1,3
Z82206.1,3
MCOLN2,3
OXER1,3
GPR55,3
FXYD2,3
NTRK3,3
LILRA2,3
LDB3,3
KRTAP12-2,3
GLIPR1L2,3
UBE2L5,3
PNMA2,3
VNN1,3
ACAP1,3
FOXQ1,3
GPR142,3
MMP12,3
PTCHD4,3
SPACA3,3
SLC11A1,3
DLG2,3
COMP,3
MROH7,3
SCGB3A2,3
THBD,3
TPSB2,3
SDK1,3
RAB3B,3
NDN,3
GRID1,3
MMP9,3
ZDBF2,3
SLC10A4,3
HP,3
CAPNS2,3
SIRPB2,3
ANK2,3
ADRA2A,3
PTGER2,3
PKDCC,3
NPM2,3
GNAO1,3
CEACAM4,3
SLC9A9,3
PLSCR4,3
MS4A14,3
PCDHB7,3
CYP26B1,3
INSYN2A,3
PRF1,3
MOG,3
DYNC1I1,3
SCUBE2,3
PRRX1,3
SHBG,3
IRAK3,3
MAB21L1,3
COL19A1,2
ADGRG2,2
KCNMB2,2
NLRP11,2
GJA3,2
CCDC166,2
PTPRD,2
CFHR4,2
FCRL4,2
MAGEA12,2
PDC,2
PEG10,2
MNX1,2
IL19,2
HHLA1,2
METTL24,2
GPC5,2
ESM1,2
APLNR,2
TSSK2,2
CBLN4,2
MARCH4,2
LBP,2
LGI1,2
CRYGB,2
MAS1L,2
PRAP1,2
LOX,2
GAL3ST1,2
SERTM1,2
TRDC,2
MMP1,2
PHACTR3,2
CCDC33,2
CXCR2,2
FNDC9,2
C15orf62,2
CNGA3,2
TRIML2,2
DKK2,2
MYH3,2
ZNF578,2
TMEM117,2
KRTAP22-2,2
VGF,2
FAM162B,2
FHAD1,2
DCT,2
UGT1A9,2
TGFA,2
LSMEM2,2
GJB4,2
MAGEA4,2
PRSS21,2
DSCAM,2
PPP1R1B,2
KCNA1,2
CRABP1,2
NXPH3,2
MRO,2
CASR,2
FGG,2
UNC79,2
SPSB4,2
ACSM6,2
UCHL1,2
TTPA,2
OR4K2,2
KLHL1,2
TNNI1,2
HMHB1,2
OR13G1,2
THBS4,2
MN1,2
PSORS1C2,2
TCF15,2
NETO1,2
FGF9,2
FOXJ1,2
CPNE9,2
AMPH,2
MIOX,2
ZBTB8B,2
CEP112,2
AQP10,2
PDE6H,2
ABCC2,2
PFKFB1,2
PRM1,2
MYO3A,2
IL5RA,2
CXCR1,2
PM20D2,2
PRSS38,2
PEAK3,2
SPEM2,2
TRGC2,2
ANKUB1,2
RLN3,2
GUCY2D,2
ANGPTL5,2
KRT25,2
TRIM58,2
C1QTNF2,2
MSTN,2
MYBPH,2
ASIC2,2
IGFBP1,2
FAM187B,2
SCN2A,2
B3GALT1,2
MBL2,2
CNRIP1,2
NMUR2,2
HTR3D,2
APELA,2
CACNB4,2
PRMT8,2
CT55,2
TRIM61,2
RCVRN,2
DKK1,2
DPPA4,2
OR52K1,2
GRM7,2
CCDC181,2
MIP,2
RGS7,2
HAP1,2
WSCD1,2
GASK1A,2
CTRB1,2
TM6SF2,2
CCR10,2
SPATA31A6,2
TEX47,2
CHST7,2
TMEM121B,2
BCHE,2
ACTN2,2
REEP2,2
PHLDB2,2
PRL,2
ANKRD30BL,2
MPP6,2
C5orf58,2
ERAS,2
IL1RN,2
FOXC2,2
PAX7,2
ANGPT1,2
ASCL4,2
GDPD4,2
SPINK7,2
TLX1,2
OR8H3,2
SLC16A11,2
C8B,2
PCSK9,2
HPCA,2
KRTAP29-1,2
WNT16,2
ADGRG4,2
GLRA3,2
PDGFRL,2
FLRT1,2
CADPS,2
SERPINB2,2
IL1F10,2
GPC6,2
LINC02693,2
KRTAP24-1,2
DAO,2
SOWAHB,2
DLK1,2
TMIGD1,2
DEUP1,2
BTBD16,2
SERPINA3,2
ELFN1,2
LRRC18,2
GRIK5,2
SCT,2
ANKRD30A,2
CLEC4M,2
CLEC12A,2
SIT1,2
PPBP,2
IQCA1L,2
PLET1,2
GPR35,2
RASGEF1C,2
ZNF214,2
TSGA13,2
C22orf23,2
PAX8,2
ISM2,2
OR10V1,2
ASCL3,2
IGDCC3,2
SYT10,2
OR6C65,2
ICAM4,2
HTR1E,2
LRRN4,2
C1orf87,2
FAM24A,2
CLCN1,2
CHRNB2,2
DDN,2
CD163L1,2
NYAP2,2
IL1RL2,2
C1QTNF1,2
CYP17A1,2
EPHA3,2
GPR61,2
IGSF22,2
POU3F4,2
TRPV6,2
PAX3,2
ACSM4,2
GPC3,2
KIF25,2
TMEM200C,2
BLID,2
BTNL2,2
IL18R1,2
AKR1B10,2
C10orf71,2
OR4K15,2
NGEF,2
ADH4,2
HBQ1,2
MAST1,2
HAPLN4,2
COL6A5,2
ANKFN1,2
DOK5,2
NOVA2,2
VSX1,2
GPR82,2
CASP14,2
TRIM31,2
USH2A,2
MT1HL1,2
FMN2,2
SAMD13,2
BATF3,2
HAS2,2
HTR5A,2
C8orf34,2
ZNF442,2
HSPB8,2
RUNX2,2
SERPINB5,2
IL1R2,2
LOXL3,2
SOX2,2
ZNF804A,2
BTG1,2
PTGER3,2
PAPLN,2
APOC4,2
DNAI2,2
CLIC3,2
BTK,2
CCDC88B,2
NMT2,2
IRF1,2
EGR2,2
SLC18B1,2
CHODL,2
GPAT3,2
PLCB2,2
SIGLEC5,2
ETV7,2
SRGN,2
LRRK2,2
EN1,2
HGFAC,2
CPNE2,2
ARHGAP30,2
MICA,2
RAC2,2
VSIR,2
C12orf74,2
ALOX15B,2
LY6G5C,2
NAV2,2
MDFI,2
SLC5A9,2
JPH2,2
FLT3LG,2
SYP,2
SCNN1B,2
LYNX1,2
LY75,2
S100A12,2
LUM,2
PNMA8A,2
FKBP5,2
CACNA1S,2
PRKX,2
TPST2,2
VAX2,2
IRF5,2
GABBR1,2
PCDHB3,2
TMEM243,2
AL135905.2,2
OPCML,2
ANKRD44,2
TPH2,2
RUNX3,2
SLC40A1,2
RCSD1,2
SOCS3,2
